-5.220282133384522183e+00   1.146702047947136444e-06   2.823826998514646709e-04   7.215091139391215450e-03   8.558876434780524067e-03   8.657240022247649977e-03
-5.209831118195204169e+00   1.168229987293530300e-06   2.876840923498528275e-04   7.350545719511297760e-03   8.714082926017425665e-03   8.814586224890688659e-03
-5.199380102857661612e+00   1.190196905333899911e-06   2.930935861540719155e-04   7.488762369596247206e-03   8.872371155288249697e-03   8.975063989685779647e-03
-5.188929087520119054e+00   1.212612378241954592e-06   2.986135394580322630e-04   7.629801343280564856e-03   9.033806922277452453e-03   9.138740345065440862e-03
-5.178478072330801041e+00   1.235486201600793790e-06   3.042463644866070073e-04   7.773724274730643702e-03   9.198457506493961516e-03   9.305683830974086773e-03
-5.168027056993258483e+00   1.258828396552421556e-06   3.099945290099895279e-04   7.920594217337735901e-03   9.366391708572696997e-03   9.475964541110663136e-03
-5.157576041655715926e+00   1.282649213109419628e-06   3.158605571592143285e-04   8.070475664555125037e-03   9.537679871079996624e-03   9.649654144400865094e-03
-5.147125026466397912e+00   1.306959136510589489e-06   3.218470309912738344e-04   8.223434589888051552e-03   9.712393921101991276e-03   9.826825928567336707e-03
-5.136674011128855355e+00   1.331768893686350190e-06   3.279565920812646204e-04   8.379538487574236805e-03   9.890607413696000244e-03   1.000755484458849473e-02
-5.126222995939537341e+00   1.357089456642267573e-06   3.341919423556024725e-04   8.538856393873171108e-03   1.007239555271894661e-02   1.019191752822953129e-02
-5.115771980601994784e+00   1.382932050849772604e-06   3.405558461582906056e-04   8.701458939860816366e-03   1.025783524803480957e-02   1.037999235847645446e-02
-5.105320965264452227e+00   1.409308158712653870e-06   3.470511311045657563e-04   8.867418373240912310e-03   1.044700513691419058e-02   1.057185947967090658e-02
-5.094869950075134213e+00   1.436229526724301968e-06   3.536806898434148019e-04   9.036808603378606100e-03   1.063998563181912244e-02   1.076760085041697512e-02
-5.084418934737591655e+00   1.463708172631701987e-06   3.604474818217541661e-04   9.209705246376570509e-03   1.083685896846938064e-02   1.096730029278837441e-02
-5.073967919400049098e+00   1.491756389579961066e-06   3.673545343050459199e-04   9.386185651152508663e-03   1.103770923175105903e-02   1.117104351907636552e-02
-5.063516904210731084e+00   1.520386753505002524e-06   3.744049441977959601e-04   9.566328945954260046e-03   1.124262240520426670e-02   1.137891818246674486e-02
-5.053065888873188527e+00   1.549612131153358721e-06   3.816018800184791163e-04   9.750216088820632190e-03   1.145168642441981612e-02   1.159101393170154821e-02
-5.042614873683870513e+00   1.579445683842935513e-06   3.889485828256515274e-04   9.937929891244267483e-03   1.166499120023740260e-02   1.180742243511906722e-02
-5.032163858346327956e+00   1.609900877556345998e-06   3.964483687034985417e-04   1.012955508167926420e-02   1.188262868713619268e-02   1.202823745055692575e-02
-5.021712843008785399e+00   1.640991487244009201e-06   4.041046298215001482e-04   1.032517833261643522e-02   1.210469290968157162e-02   1.225355485272069077e-02
-5.011261827819467385e+00   1.672731604995619433e-06   4.119208364467073888e-04   1.052488831199848394e-02   1.233128001712724582e-02   1.248347268913095262e-02
-5.000810812481924827e+00   1.705135648895646838e-06   4.199005391244660596e-04   1.072877573893914888e-02   1.256248834227802202e-02   1.271809124041540541e-02
-4.990359797144382270e+00   1.738218367768022735e-06   4.280473698468257216e-04   1.093693341357692209e-02   1.279841843112755270e-02   1.295751305096263378e-02
-4.979908781955064256e+00   1.771994850132421417e-06   4.363650442580813311e-04   1.114945627342831674e-02   1.303917310239267706e-02   1.320184298992973376e-02
-4.969457766617521699e+00   1.806480533497119390e-06   4.448573639431989283e-04   1.136644145185886426e-02   1.328485750929525588e-02   1.345118831455245113e-02
-4.959006751428203685e+00   1.841691208945730454e-06   4.535282175573287318e-04   1.158798830694302354e-02   1.353557916770273956e-02   1.370565869933250240e-02
-4.948555736090661128e+00   1.877643033242434343e-06   4.623815838067947808e-04   1.181419849763072454e-02   1.379144803763722275e-02   1.396536631940801729e-02
-4.938104720753118571e+00   1.914352533506841556e-06   4.714215326003101257e-04   1.204517601316178015e-02   1.405257655200774052e-02   1.423042588037905752e-02
-4.927653705563800557e+00   1.951836617429032190e-06   4.806522275644958711e-04   1.228102723733929570e-02   1.431907968409388068e-02   1.450095468748589453e-02
-4.917202690226257999e+00   1.990112583255116818e-06   4.900779285028885116e-04   1.252186101135916579e-02   1.459107501399710405e-02   1.477707271376120339e-02
-4.906751674888715442e+00   2.029198125753542811e-06   4.997029928651818692e-04   1.276778867135031081e-02   1.486868276557175815e-02   1.505890263824032245e-02
-4.896300659699397428e+00   2.069111346487484073e-06   5.095318782768675989e-04   1.301892411300891068e-02   1.515202587461618282e-02   1.534656991592227987e-02
-4.885849644361854871e+00   2.109870764932393696e-06   5.195691452770045092e-04   1.327538386155046463e-02   1.544123006230676415e-02   1.564020285308237099e-02
-4.875398629172536857e+00   2.151495323812356415e-06   5.298194586323286791e-04   1.353728710528630426e-02   1.573642386774209631e-02   1.593993264109209648e-02
-4.864947613834994300e+00   2.194004403350374401e-06   5.402875908464778356e-04   1.380475578528692765e-02   1.603773874345652828e-02   1.624589345419670885e-02
-4.854496598497451743e+00   2.237417826723520755e-06   5.509784235033572024e-04   1.407791462970600302e-02   1.634530908870994448e-02   1.655822248413867798e-02
-4.844045583308133729e+00   2.281755872000400990e-06   5.618969502068162135e-04   1.435689122889133307e-02   1.665927232800614236e-02   1.687706002073125974e-02
-4.833594567970591172e+00   2.327039284089172354e-06   5.730482795229239514e-04   1.464181611056221410e-02   1.697976899000741904e-02   1.720254953286286942e-02
